,state_alpha,state_name,value
0,AL,ALABAMA,280000.0
1,AZ,ARIZONA,50000.0
2,AR,ARKANSAS,430000.0
3,CA,CALIFORNIA,550000.0
4,CO,COLORADO,1100000.0
5,CT,CONNECTICUT,26000.0
6,DE,DELAWARE,170000.0
7,FL,FLORIDA,70000.0
8,GA,GEORGIA,420000.0
9,ID,IDAHO,300000.0
10,IL,ILLINOIS,12000000.0
11,IN,INDIANA,5600000.0
12,IA,IOWA,13600000.0
13,KS,KANSAS,4100000.0
14,KY,KENTUCKY,1220000.0
15,LA,LOUISIANA,630000.0
16,ME,MAINE,28000.0
17,MD,MARYLAND,470000.0
18,MA,MASSACHUSETTS,17000.0
19,MI,MICHIGAN,2350000.0
20,MN,MINNESOTA,7600000.0
21,MS,MISSISSIPPI,730000.0
22,MO,MISSOURI,3000000.0
23,MT,MONTANA,72000.0
24,NE,NEBRASKA,9150000.0
25,NV,NEVADA,4000.0
26,NH,NEW HAMPSHIRE,15000.0
27,NJ,NEW JERSEY,80000.0
28,NM,NEW MEXICO,130000.0
29,NY,NEW YORK,1070000.0
30,NC,NORTH CAROLINA,870000.0
31,ND,NORTH DAKOTA,1950000.0
32,OH,OHIO,3350000.0
33,OK,OKLAHOMA,390000.0
34,OR,OREGON,60000.0
35,PA,PENNSYLVANIA,1350000.0
36,RI,RHODE ISLAND,2000.0
37,SC,SOUTH CAROLINA,335000.0
38,SD,SOUTH DAKOTA,5000000.0
39,TN,TENNESSEE,670000.0
40,TX,TEXAS,2350000.0
41,UT,UTAH,65000.0
42,VT,VERMONT,91000.0
43,VA,VIRGINIA,480000.0
44,WA,WASHINGTON,170000.0
45,WV,WEST VIRGINIA,47000.0
46,WI,WISCONSIN,3850000.0
47,WY,WYOMING,90000.0
