Date,AG-CRN-0089,AG-CRN-0090,AG-CRN-0074,AG-CRN-0075,AG-CRN-0073
5/12/2025,4.3975,-0.05,82,209.5,207.25
4/12/2025,4.43,-0.04,81,210.5,208
3/12/2025,4.4,-0.04,79,209.25,205.5
2/12/2025,4.46,-0.04,77,211.25,207.25
1/12/2025,4.41,-0.04,77,208.75,205.25
28/11/2025,4.43,0.08,83,210.75,204
26/11/2025,4.39,0.08,83,209.25,201
25/11/2025,4.31,0.08,83,206.5,199.75
24/11/2025,4.31,0.08,85,206.75,200.25
21/11/2025,4.33,0.08,85,207,201
20/11/2025,4.34,0.08,85,206,201.75
19/11/2025,4.37,0.08,85,207,202.5
18/11/2025,4.44,0.08,84,208.25,204.75
17/11/2025,4.38,0.03,84,207,204.5
14/11/2025,4.33,0.03,84,207.75,207
13/11/2025,4.44,0.03,84,207,206
12/11/2025,4.38,0.03,82,207,203.25
11/11/2025,4.3,-0.03,82,205.75,202.25
10/11/2025,4.27,-0.03,82,206,201
7/11/2025,4.25,-0.03,85,206,202
6/11/2025,4.26,-0.03,84,207,201.75
5/11/2025,4.33,-0.02,86,208.25,205
4/11/2025,4.29,-0.03,89,206.5,204.25
3/11/2025,4.3,-0.05,87,206.25,205
31/10/2025,4.265,-0.05,87,204.5,204
30/10/2025,4.2525,-0.05,85,203.25,203
29/10/2025,4.29,-0.05,85,203.5,203.75
28/10/2025,4.27,-0.05,81,204,202.5
27/10/2025,4.2375,-0.05,82,203.5,201.75
24/10/2025,4.1825,-0.05,82,200.75,199.25
23/10/2025,4.23,-0.05,82,201.25,199.75
22/10/2025,4.14,-0.09,82,200.5,198.75
21/10/2025,4.11,-0.09,82,198.75,197.25
20/10/2025,4.1025,-0.13,82,199.5,198.75
17/10/2025,4.095,-0.13,80,200.5,198.5
16/10/2025,4.0875,-0.13,80,199.5,197.75
15/10/2025,4.0375,-0.13,81,197.75,196.25
14/10/2025,4,-0.13,81,195.75,194.25
13/10/2025,3.9775,-0.13,81,195.25,193.75
10/10/2025,4,-0.13,82,195.5,194.75
9/10/2025,4.0525,-0.13,82,198.5,197.75
8/10/2025,4.09,-0.13,83,198.5,198.5
7/10/2025,4.03,-0.17,82,199.75,197.75
6/10/2025,4.12,-0.1,82,198.5,197.75
3/10/2025,4.09,-0.1,82,198.5,197.75
2/10/2025,4.12,-0.1,84,199.75,198.25
1/10/2025,3.99,-0.18,84,197,195.75
30/09/2025,4.005,-0.15,83,199.25,196.5
29/09/2025,4.065,-0.15,83,200.5,198.75
26/09/2025,4.07,-0.15,81,201,198.25
25/09/2025,4.1075,-0.15,82,202.25,199.5
24/09/2025,4.0925,-0.15,82,201.75,199.75
23/09/2025,4.1125,-0.15,81,202.5,199
22/09/2025,4.0675,-0.15,81,200.5,197
19/09/2025,4.09,-0.15,81,203.75,198.25
18/09/2025,4.0875,-0.15,82,203.5,199.5
17/09/2025,4.08,-0.19,84,205.25,201
16/09/2025,4.11,-0.19,88,206,203.25
15/09/2025,4.05,-0.19,88,202.25,201.5
12/9/2025,4.17,-0.14,84,202.25,199
11/9/2025,4.06,-0.14,84,201,198.75
10/9/2025,4.04,-0.14,84,199.75,197.25
9/9/2025,4.06,-0.14,82,200.75,197.75
8/9/2025,4.08,-0.14,82,201.5,197.75
5/9/2025,4.05,-0.14,81,203.25,198
4/9/2025,4.06,-0.14,81,200.5,197
3/9/2025,4.05,-0.14,83,202.25,197.25
2/9/2025,4.1,-0.14,83,203,197.75
29/08/2025,4.13,0.15,89,202.25,190.25
28/08/2025,4.005,0.15,89,198.75,186.25
27/08/2025,3.975,0.15,89,198,185.75
26/08/2025,4.025,0.15,93,199.75,189
25/08/2025,4.03,0.14,96,201.5,190.75
22/08/2025,4.05,0.17,97,201.25,190.75
21/08/2025,4.04,0.17,97,200.75,190
20/08/2025,3.98,0.18,97,199,188.5
19/08/2025,3.995,0.2,97,200.25,188
18/08/2025,4.03,0.2,96,201,188.75
15/08/2025,4.02,0.18,96,196.25,187
14/08/2025,3.93,0.18,96,196.25,185
13/08/2025,3.92,0.18,95,194.5,184.25
12/8/2025,3.87,0.16,93,195,184
11/8/2025,4.01,0.16,97,198.25,189.75
8/8/2025,3.98,0.16,93,197,188
7/8/2025,4,0.16,92,197,188.25
6/8/2025,3.96,0.17,91,194,183.75
5/8/2025,3.98,0.17,95,193,187.5
4/8/2025,4.04,0.17,95,196,190.25
1/8/2025,4.06,0.17,95,195.75,190.75
31/07/2025,4.1,0.16,82,197.5,187.25
30/07/2025,4.0775,0.16,82,196,186.75
29/07/2025,4.06,0.17,81,194.5,184.75
28/07/2025,4.1175,0.18,86,196,188.75
25/07/2025,4.175,0.18,95,198.25,194.25
24/07/2025,4.1975,0.18,95,199,195
23/07/2025,4.165,0.18,95,198,194.25
22/07/2025,4.1725,0.18,93,198.5,194.5
21/07/2025,4.2175,0.18,93,198.75,194.5
18/07/2025,4.265,0.18,92,200.5,196.75
17/07/2025,4.2,0.18,90,199.75,194.75
16/07/2025,4.22,0.17,90,199.5,194.75
15/07/2025,4.18,0.17,88,198,193
