date,tariff,item,commodity,primary_class,railroad,origin,origin_city,origin_state,destination,destination_city,destination_state,route_mileage,train_type,min_number_of_cars,max_number_of_cars,car_ownership,rule_11_rate,gtr_table,maximum_load_pounds,car_volume_cubic_feet,tariff_fsc_per_bushel,tariff_fsc_per_metric_ton,tariff_fsc_per_short_ton,tariff_fsc_per_ton_mile
2021-08-15,4022,45700.0,Wheat,Durum,BNSF,"Northgate, SK",Northgate,SK,"Ames, IA",Ames,IA,793.0,Shuttle,110,120.0,Railroad/Private,0,0,"286,000",,1.6211,59.5631,54.036,0.0681
2021-08-15,4022,45452.0,Wheat,Durum,BNSF,"Williston, ND",Williston,ND,"Superior, WI",Superior,WI,611.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.0651,39.136,35.5045,0.0581
2021-08-15,4022,45700.0,Wheat,Durum,BNSF,"Williston, ND",Williston,ND,"St. Louis, MO",St. Louis,MO,1187.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.4816,54.4389,49.3874,0.0416
2021-08-15,4444,15749.0,Wheat,Durum,CPKC,"Westby, MT",Westby,MT,"St. Louis, MO",St. Louis,MO,1588.0,Unit,100,,Railroad/Private,0,1,"286,000",,1.5384,60.1119,54.534,0.0343
2021-08-15,4022,43910.0,Wheat,HRS,BNSF,"Bucyrus, ND",Bucyrus,ND,"PNW (Seattle, WA)",Seattle,WA,1267.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.4832,54.4985,49.4414,0.039
2021-08-15,4022,45700.0,Wheat,HRS,BNSF,"Drayton, ND",Drayton,ND,"Chicago, IL",Chicago,IL,806.0,DET,110,120.0,Railroad/Private,1,0,"286,000",,1.2462,45.7895,41.5405,0.0515
2021-08-15,4022,45700.0,Wheat,HRS,BNSF,"Alton (Hillsboro), ND",Alton,ND,"Chicago, IL",Chicago,IL,711.0,DET,110,120.0,Railroad/Private,1,1,"286,000",,1.2038,44.2304,40.1261,0.0564
2021-08-15,4022,43910.0,Wheat,HRS,BNSF,"Alton (Hillsboro), ND",Alton,ND,"PNW (Seattle, WA)",Seattle,WA,1501.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.5851,58.2423,52.8378,0.0352
2021-08-15,4022,43910.0,Wheat,HRS,BNSF,"Macon, MT",Macon,MT,"PNW (Seattle, WA)",Seattle,WA,1038.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.3681,50.2681,45.6036,0.0439
2021-08-15,4022,45675.0,Wheat,HRS,BNSF,"Taylor, ND",Boyle,ND,"Grand Forks, ND",Grand Forks,ND,364.0,Shuttle,110,120.0,Railroad/Private,0,0,"286,000",,0.5895,21.6584,19.6486,0.054
2021-08-15,4022,45452.0,Wheat,HRS,BNSF,"Alton (Hillsboro), ND",Alton,ND,"Superior, WI",Superior,WI,294.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,0.6797,24.9752,22.6577,0.0771
2021-08-15,4444,15890.0,Wheat,HRS,CPKC,"Minot, ND",Minot,ND,"Kalama, WA",Kalama,WA,1406.0,Unit,100,,Railroad/Private,0,1,"286,000",,1.4322,55.7981,50.6204,0.036
2021-08-15,4444,17500.0,Wheat,HRS,CPKC,"Nekoma, ND",Nekoma,ND,"Chicago, IL",Chicago,IL,845.0,Manifest,25,25.0,Railroad/Private,1,1,"286,000",,1.2311,47.1424,42.7679,0.0506
2021-08-15,4022,45700.0,Wheat,HRW/HRS,BNSF,"Bowdle, SD",West Bowdle,SD,"Chicago, IL",Chicago,IL,772.0,DET,110,120.0,Railroad/Private,1,1,"286,000",,1.2003,44.1013,40.009,0.0518
2021-08-15,4022,43910.0,Wheat,HRW/HRS,BNSF,"Conrad, MT",Conrad,MT,"PNW (Seattle, WA)",Seattle,WA,758.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.1051,40.6058,36.8378,0.0486
2021-08-15,4022,43591.0,Wheat,SW,BNSF,"Templin (Ritzville), WA",Templin,WA,"PNW (Seattle, WA)",Seattle,WA,333.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,0.5222,19.1857,17.4054,0.0523
2021-09-15,4022,45700.0,Wheat,Durum,BNSF,"Northgate, SK",Northgate,SK,"Ames, IA",Ames,IA,793.0,Shuttle,110,120.0,Railroad/Private,0,0,"286,000",,1.6211,59.5631,54.036,0.0681
2021-09-15,4022,45452.0,Wheat,Durum,BNSF,"Williston, ND",Williston,ND,"Superior, WI",Superior,WI,611.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.0651,39.136,35.5045,0.0581
2021-09-15,4022,45700.0,Wheat,Durum,BNSF,"Williston, ND",Williston,ND,"St. Louis, MO",St. Louis,MO,1187.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.4816,54.4389,49.3874,0.0416
2021-09-15,4444,15749.0,Wheat,Durum,CPKC,"Westby, MT",Westby,MT,"St. Louis, MO",St. Louis,MO,1588.0,Unit,100,,Railroad/Private,0,1,"286,000",,1.5384,60.1908,54.6055,0.0344
2021-09-15,4022,43910.0,Wheat,HRS,BNSF,"Bucyrus, ND",Bucyrus,ND,"PNW (Seattle, WA)",Seattle,WA,1267.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.4832,54.4985,49.4414,0.039
2021-09-15,4022,45700.0,Wheat,HRS,BNSF,"Drayton, ND",Drayton,ND,"Chicago, IL",Chicago,IL,806.0,DET,110,120.0,Railroad/Private,1,0,"286,000",,1.2462,45.7895,41.5405,0.0515
2021-09-15,4022,45700.0,Wheat,HRS,BNSF,"Alton (Hillsboro), ND",Alton,ND,"Chicago, IL",Chicago,IL,711.0,DET,110,120.0,Railroad/Private,1,1,"286,000",,1.2038,44.2304,40.1261,0.0564
2021-09-15,4022,43910.0,Wheat,HRS,BNSF,"Alton (Hillsboro), ND",Alton,ND,"PNW (Seattle, WA)",Seattle,WA,1501.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.5851,58.2423,52.8378,0.0352
2021-09-15,4022,43910.0,Wheat,HRS,BNSF,"Macon, MT",Macon,MT,"PNW (Seattle, WA)",Seattle,WA,1038.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.3681,50.2681,45.6036,0.0439
2021-09-15,4022,45675.0,Wheat,HRS,BNSF,"Taylor, ND",Boyle,ND,"Grand Forks, ND",Grand Forks,ND,364.0,Shuttle,110,120.0,Railroad/Private,0,0,"286,000",,0.5895,21.6584,19.6486,0.054
2021-09-15,4022,45452.0,Wheat,HRS,BNSF,"Alton (Hillsboro), ND",Alton,ND,"Superior, WI",Superior,WI,294.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,0.6797,24.9752,22.6577,0.0771
2021-09-15,4444,15890.0,Wheat,HRS,CPKC,"Minot, ND",Minot,ND,"Kalama, WA",Kalama,WA,1406.0,Unit,100,,Railroad/Private,0,1,"286,000",,1.4322,55.8679,50.6837,0.036
2021-09-15,4444,17500.0,Wheat,HRS,CPKC,"Nekoma, ND",Nekoma,ND,"Chicago, IL",Chicago,IL,845.0,Manifest,25,25.0,Railroad/Private,1,1,"286,000",,1.2311,47.1843,42.806,0.0507
2021-09-15,4022,45700.0,Wheat,HRW/HRS,BNSF,"Bowdle, SD",West Bowdle,SD,"Chicago, IL",Chicago,IL,772.0,DET,110,120.0,Railroad/Private,1,1,"286,000",,1.2003,44.1013,40.009,0.0518
2021-09-15,4022,43910.0,Wheat,HRW/HRS,BNSF,"Conrad, MT",Conrad,MT,"PNW (Seattle, WA)",Seattle,WA,758.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.1051,40.6058,36.8378,0.0486
2021-09-15,4022,43591.0,Wheat,SW,BNSF,"Templin (Ritzville), WA",Templin,WA,"PNW (Seattle, WA)",Seattle,WA,333.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,0.5222,19.1857,17.4054,0.0523
2021-10-15,4315,,Wheat,All,CSX,"Chicago, IL",Chicago,IL,"Indiantown, FL",Indiantown,FL,1379.0,Manifest,1,89.0,Railroad,1,1,,5000,2.1141,77.6763,70.4685,0.0511
2021-10-15,4315,,Wheat,All,CSX,"Chicago, IL",Chicago,IL,"Indiantown, FL",Indiantown,FL,1379.0,Manifest,1,89.0,Private,1,0,,5000,2.0249,74.3992,67.4955,0.0489
2021-10-15,4315,,Wheat,All,CSX,"Chicago, IL",Chicago,IL,"Albany, NY",Albany,NY,811.0,Unit,90,90.0,Railroad/Private,1,1,,5000,1.8027,66.2363,60.0901,0.0741
2021-10-15,4315,,Wheat,All,CSX,"Chicago, IL",Chicago,IL,"Albany, NY",Albany,NY,811.0,Manifest,1,89.0,Railroad,1,1,,5000,2.0554,75.5214,68.5135,0.0845
2021-10-15,4315,,Wheat,All,CSX,"Chicago, IL",Chicago,IL,"Albany, NY",Albany,NY,811.0,Manifest,1,89.0,Private,1,0,,5000,1.9662,72.2443,65.5405,0.0808
2021-10-15,4315,,Wheat,All,CSX,"Chicago, IL",Chicago,IL,"Buffalo, NY",Buffalo,NY,518.0,Manifest,1,89.0,Railroad,1,1,,5000,1.4584,53.5849,48.6126,0.0938
2021-10-15,4315,,Wheat,All,CSX,"Chicago, IL",Chicago,IL,"Buffalo, NY",Buffalo,NY,518.0,Manifest,1,89.0,Private,1,0,,5000,1.3692,50.3078,45.6396,0.0881
2021-10-15,4022,45700.0,Wheat,Durum,BNSF,"Northgate, SK",Northgate,SK,"Ames, IA",Ames,IA,793.0,Shuttle,110,120.0,Railroad/Private,0,0,"286,000",,1.6211,59.5631,54.036,0.0681
2021-10-15,4022,45452.0,Wheat,Durum,BNSF,"Williston, ND",Williston,ND,"Superior, WI",Superior,WI,611.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.0651,39.136,35.5045,0.0581
2021-10-15,4022,45700.0,Wheat,Durum,BNSF,"Williston, ND",Williston,ND,"St. Louis, MO",St. Louis,MO,1187.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.4816,54.4389,49.3874,0.0416
2021-10-15,4444,15749.0,Wheat,Durum,CPKC,"Westby, MT",Westby,MT,"St. Louis, MO",St. Louis,MO,1588.0,Unit,100,,Railroad/Private,0,1,"286,000",,1.5384,60.2696,54.677,0.0344
2021-10-15,4022,43910.0,Wheat,HRS,BNSF,"Bucyrus, ND",Bucyrus,ND,"PNW (Seattle, WA)",Seattle,WA,1267.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",,1.4832,54.4985,49.4414,0.039
