date,railroad,tariff,item,commodity,primary_class,origin_city,origin_state,origin,destination_city,destination_state,destination,route_mileage,train_type,min_number_of_cars,max_number_of_cars,car_ownership,rule_11_rate,gtr_table,maximum_load_pounds,tariff_per_car,tariff_per_bushel,tariff_per_metric_ton,tariff_per_short_ton,tariff_per_ton_mile,fsc_per_mile,fsc_per_car,tariff_fsc_per_car,tariff_fsc_per_bushel,tariff_fsc_per_metric_ton,tariff_fsc_per_short_ton,tariff_fsc_per_ton_mile,car_volume_cubic_feet
2021-08-15,BNSF,4022,45700.0,Wheat,Durum,Northgate,SK,"Northgate, SK",Ames,IA,"Ames, IA",793.0,Shuttle,110,120.0,Railroad/Private,0,0,"286,000",5998,1.6211,59.5631,54.036,0.0681,0.0,0.0,5998.0,1.6211,59.5631,54.036,0.0681,
2021-08-15,BNSF,4022,45452.0,Wheat,Durum,Williston,ND,"Williston, ND",Superior,WI,"Superior, WI",611.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",3941,1.0651,39.136,35.5045,0.0581,0.0,0.0,3941.0,1.0651,39.136,35.5045,0.0581,
2021-08-15,BNSF,4022,45700.0,Wheat,Durum,Williston,ND,"Williston, ND",St. Louis,MO,"St. Louis, MO",1187.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",5482,1.4816,54.4389,49.3874,0.0416,0.0,0.0,5482.0,1.4816,54.4389,49.3874,0.0416,
2021-08-15,CPKC,4444,15749.0,Wheat,Durum,Westby,MT,"Westby, MT",St. Louis,MO,"St. Louis, MO",1588.0,Unit,100,,Railroad/Private,0,1,"286,000",5692,1.5384,56.5243,51.2793,0.0323,0.2275,361.27,6053.27,1.5384,60.1119,54.534,0.0343,
2021-08-15,BNSF,4022,43910.0,Wheat,HRS,Bucyrus,ND,"Bucyrus, ND",Seattle,WA,"PNW (Seattle, WA)",1267.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",5488,1.4832,54.4985,49.4414,0.039,0.0,0.0,5488.0,1.4832,54.4985,49.4414,0.039,
2021-08-15,BNSF,4022,45700.0,Wheat,HRS,Drayton,ND,"Drayton, ND",Chicago,IL,"Chicago, IL",806.0,DET,110,120.0,Railroad/Private,1,0,"286,000",4611,1.2462,45.7895,41.5405,0.0515,0.0,0.0,4611.0,1.2462,45.7895,41.5405,0.0515,
2021-08-15,BNSF,4022,45700.0,Wheat,HRS,Alton,ND,"Alton (Hillsboro), ND",Chicago,IL,"Chicago, IL",711.0,DET,110,120.0,Railroad/Private,1,1,"286,000",4454,1.2038,44.2304,40.1261,0.0564,0.0,0.0,4454.0,1.2038,44.2304,40.1261,0.0564,
2021-08-15,BNSF,4022,43910.0,Wheat,HRS,Alton,ND,"Alton (Hillsboro), ND",Seattle,WA,"PNW (Seattle, WA)",1501.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",5865,1.5851,58.2423,52.8378,0.0352,0.0,0.0,5865.0,1.5851,58.2423,52.8378,0.0352,
2021-08-15,BNSF,4022,43910.0,Wheat,HRS,Macon,MT,"Macon, MT",Seattle,WA,"PNW (Seattle, WA)",1038.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",5062,1.3681,50.2681,45.6036,0.0439,0.0,0.0,5062.0,1.3681,50.2681,45.6036,0.0439,
2021-08-15,BNSF,4022,45675.0,Wheat,HRS,Boyle,ND,"Taylor, ND",Grand Forks,ND,"Grand Forks, ND",364.0,Shuttle,110,120.0,Railroad/Private,0,0,"286,000",2181,0.5895,21.6584,19.6486,0.054,0.0,0.0,2181.0,0.5895,21.6584,19.6486,0.054,
